"C","CTY","Val"
"cmaiz","ARG",1.46597400915456
"cmaiz","BGR",1.45947953995922
"cmaiz","BLZ",1.47232895068422
"cmaiz","BOL",1.41151709001036
"cmaiz","CAN",1.45324243488747
"cmaiz","CHM",1.08010960285491
"cmaiz","COL",1.41097380757539
"cmaiz","CRB",1.37352914048245
"cmaiz","CRI",1.47232895068422
"cmaiz","CUB",1.47232895068422
"cmaiz","CZE",1.45947953995922
"cmaiz","DOM",1.47232895068422
"cmaiz","ECU",1.42627115306406
"cmaiz","EGY",1.41069567110129
"cmaiz","GTM",1.47232895068422
"cmaiz","HND",1.47232895068422
"cmaiz","HTI",1.47232895068422
"cmaiz","HUN",1.45947953995922
"cmaiz","IRN",1.41039958141703
"cmaiz","JAM",1.37352914048245
"cmaiz","JPN",1.4112100866389
"cmaiz","KOR",1.4110622967726
"cmaiz","MDA",1.45947953995922
"cmaiz","MEX",1.41145765233301
"cmaiz","NIC",1.47232895068422
"cmaiz","NZL",1.37485297946051
"cmaiz","OIO",1.37352914048245
"cmaiz","OPO",1.37352914048245
"cmaiz","PAK",1.45186495601905
"cmaiz","PAN",1.47232895068422
"cmaiz","POL",1.46709973006117
"cmaiz","PRY",1.41151709001036
"cmaiz","RAP",1.41039958141703
"cmaiz","ROU",1.45947953995922
"cmaiz","SAU",1.41039958141703
"cmaiz","SLV",1.47232895068422
"cmaiz","SVK",1.45947953995922
"cmaiz","TUR",1.41004772050017
"cmaiz","USA",3.30376972123258
"cmaiz","YEM",1.41039958141703
"cmaiz","ZAF",1.47433063087758
"csorg","AUS",1.10081347428713
"cwhea","AUS",1.20993452503257
"cwhea","AUT",1.60307747965556
"cwhea","BLR",1.66586075458695
"cwhea","BLT",1.66586075458695
"cwhea","CAN",1.47154690381729
"cwhea","CHP",1.60307747965556
"cwhea","DEU",1.60307747965556
"cwhea","DNK",1.60307747965556
"cwhea","FNP",1.60307747965556
"cwhea","FRP",1.60307747965556
"cwhea","IRL",1.60307747965556
"cwhea","ISL",1.60307747965556
"cwhea","ITP",1.60307747965556
"cwhea","NLD",1.60307747965556
"cwhea","NOR",1.60307747965556
"cwhea","PRT",1.60307747965556
"cwhea","RUS",1.47528343512715
"cwhea","SPP",1.60307747965556
"cwhea","SWE",1.60307747965556
"cwhea","UKP",1.60307747965556
"cwhea","UKR",1.4120225416807
"ccass","ARG",1.47853821116644
"ccass","CHM",1.46820153933009
"ccass","COL",1.41906534873471
"ccass","FJI",1.38452353357627
"ccass","IDN",1.46821095117319
"ccass","JAM",1.38452353357627
"ccass","KEN",1.41047910454119
"ccass","MWI",1.41047893659824
"ccass","NGA",1.41047900038575
"ccass","OIO",1.38452353357627
"ccass","OPO",1.38452353357627
"ccass","PHL",1.4666889226756
"ccass","THA",1.43493215931528
"csugr","ARG",1.49568135723324
"csugr","AUS",1.49569970192127
"csugr","AUT",1.40959566375052
"csugr","BGR",1.51175746426386
"csugr","BLR",1.44254779418271
"csugr","BLT",1.44254779418271
"csugr","BOL",1.43857091172923
"csugr","BRA",1.46531323418862
"csugr","CHM",1.49443506064252
"csugr","COL",1.43543023920708
"csugr","CRB",1.4152842724612
"csugr","CRI",1.50070828592819
"csugr","CZE",1.51175746426386
"csugr","DEU",1.40959566375052
"csugr","DNK",1.40959566375052
"csugr","ECU",1.45364602407348
"csugr","EGY",1.43930145397176
"csugr","FJI",1.4152842724612
"csugr","FNP",1.40959566375052
"csugr","FRP",1.40959566375052
"csugr","GTM",1.50070828592819
"csugr","HND",1.50070828592819
"csugr","HTI",1.50070828592819
"csugr","HUN",1.51175746426386
"csugr","IDN",1.48777404475789
"csugr","IND",1.44167676329326
"csugr","IRN",1.44040408998044
"csugr","ITP",1.40959566375052
"csugr","KEN",1.42163343766779
"csugr","KOR",1.45783588966584
"csugr","MDA",1.51175746426386
"csugr","MEX",1.4423391540915
"csugr","NGA",1.42163384714134
"csugr","NIC",1.50070828592819
"csugr","NLD",1.40959566375052
"csugr","NZL",1.41285464424828
"csugr","OIO",1.4152842724612
"csugr","OPO",1.4152842724612
"csugr","PAK",1.48720290098395
"csugr","PAN",1.50070828592819
"csugr","POL",1.51968742332757
"csugr","PRY",1.43857091172923
"csugr","RAP",1.44040408998044
"csugr","ROU",1.51175746426386
"csugr","RUS",1.5073642818931
"csugr","SAU",1.44040408998044
"csugr","SLV",1.50070828592819
"csugr","SPP",1.40959566375052
"csugr","SVK",1.51175746426386
"csugr","SWE",1.40959566375052
"csugr","THA",1.45409090782499
"csugr","TUR",1.44269181864507
"csugr","UKR",1.44254779418271
"csugr","USA",1.51766079626878
"csugr","ZAF",1.52934562906822
"csugr","ZWE",1.42163418170624
"crpol","AUT",1.31408941648055
"crpol","BGR",1.31408941648055
"crpol","BLR",1.31408941648055
"crpol","BLT",1.31408941648055
"crpol","CAN",1.31408941648055
"crpol","CHP",1.31408941648055
"crpol","CZE",1.31408941648055
"crpol","DEU",1.31408941648055
"crpol","DNK",1.31408941648055
"crpol","FNP",1.31408941648055
"crpol","FRP",1.31408941648055
"crpol","GRC",1.31408941648055
"crpol","HUN",1.31408941648055
"crpol","IRL",1.31408941648055
"crpol","ISL",1.31408941648055
"crpol","ITP",1.31408941648055
"crpol","MDA",1.31408941648055
"crpol","NOR",1.31408941648055
"crpol","OBN",1.31408941648055
"crpol","POL",1.31408941648055
"crpol","PRT",1.31408941648055
"crpol","ROU",1.31408941648055
"crpol","SPP",1.31408941648055
"crpol","SVK",1.31408941648055
"crpol","SVN",1.31408941648055
"crpol","SWE",1.31408941648055
"crpol","UKP",1.31408941648055
"csbol","AUT",1.31408941648055
"csbol","BGR",1.31408941648055
"csbol","BLR",1.31408941648055
"csbol","BRA",1.82424599443891
"csbol","CYP",1.31408941648055
"csbol","CZE",1.31408941648055
"csbol","DEU",1.31408941648055
"csbol","DNK",1.31408941648055
"csbol","FNP",1.31408941648055
"csbol","GRC",1.31408941648055
"csbol","HRV",1.31408941648055
"csbol","IRL",1.31408941648055
"csbol","ISL",1.31408941648055
"csbol","ITP",1.31408941648055
"csbol","NOR",1.31408941648055
"csbol","OBN",1.31408941648055
"csbol","POL",1.31408941648055
"csbol","PRT",1.31408941648055
"csbol","ROU",1.31408941648055
"csbol","SPP",1.31408941648055
"csbol","SVN",1.31408941648055
"csbol","SWE",1.31408941648055
"csbol","UKP",1.31408941648055
"csbol","USA",1.34974672356984
"csfol","ALB",1.31408941648055
"csfol","AUT",1.31408941648055
"csfol","BGR",1.31408941648055
"csfol","BLR",1.31408941648055
"csfol","BLT",1.31408941648055
"csfol","CHP",1.31408941648055
"csfol","CYP",1.31408941648055
"csfol","CZE",1.31408941648055
