"J","FPU","LND","RIQFPU","Val"
"jbarl","AZE_AZE","arf","QS",1.6467522923319
"jbarl","AZE_AZE","arf","ARA",0.575380226657047
"jbarl","AZE_AZE","arf","YLD",2.86202447710014
"jbarl","BAL_BLT","air","QS",15.4360304052385
"jbarl","BAL_BLT","air","ARA",3.65999981321857
"jbarl","BAL_BLT","air","YLD",4.21749486147219
"jbarl","BAL_BLT","arf","QS",1311.51466857894
"jbarl","BAL_BLT","arf","ARA",345.383327518324
"jbarl","BAL_BLT","arf","YLD",3.7972726651357
"jbarl","BAL_RUS","air","QS",19.4314731122211
"jbarl","BAL_RUS","air","ARA",6.7295718571752
"jbarl","BAL_RUS","air","YLD",2.88747538842355
"jbarl","BAL_RUS","arf","QS",430.365171648947
"jbarl","BAL_RUS","arf","ARA",168.824389883205
"jbarl","BAL_RUS","arf","YLD",2.54918837228839
"jbarl","BLA_RUS","air","QS",376.654520246914
"jbarl","BLA_RUS","air","ARA",117.755953461464
"jbarl","BLA_RUS","air","YLD",3.19860278121882
"jbarl","BLA_RUS","arf","QS",7496.05924167101
"jbarl","BLA_RUS","arf","ARA",2627.04861897783
"jbarl","BLA_RUS","arf","YLD",2.85341473603472
"jbarl","BLA_TUR","air","QS",73.669065741046
"jbarl","BLA_TUR","air","ARA",23.1231016884538
"jbarl","BLA_TUR","air","YLD",3.18595086133413
"jbarl","BLA_TUR","arf","QS",342.10809888377
"jbarl","BLA_TUR","arf","ARA",148.747321820213
"jbarl","BLA_TUR","arf","YLD",2.29992778826141
"jbarl","BLA_UKR","air","QS",10.8478941036151
"jbarl","BLA_UKR","air","ARA",1.67761439523261
"jbarl","BLA_UKR","air","YLD",6.46626193387605
"jbarl","BLA_UKR","arf","QS",595.859813515497
"jbarl","BLA_UKR","arf","ARA",176.558495177146
"jbarl","BLA_UKR","arf","YLD",3.37485779383006
"jbarl","BRT_BGD","air","QS",0.0932443354212146
"jbarl","BRT_BGD","air","ARA",0.102170251830418
"jbarl","BRT_BGD","air","YLD",0.912636836561601
"jbarl","BRT_BGD","arf","QS",0.000244811504893718
"jbarl","BRT_BGD","arf","ARA",0.000268243103465835
"jbarl","BRT_BGD","arf","YLD",0.912647899351861
"jbarl","BRT_BTN","air","QS",0.0013084434430568
"jbarl","BRT_BTN","air","ARA",0.000950673145507646
"jbarl","BRT_BTN","air","YLD",1.37633365288562
"jbarl","BRT_BTN","arf","QS",0.863868218006364
"jbarl","BRT_BTN","arf","ARA",0.629715980169719
"jbarl","BRT_BTN","arf","YLD",1.37183785263562
"jbarl","BRT_CHM","air","QS",3.1856979664263
"jbarl","BRT_CHM","air","ARA",0.792699586692836
"jbarl","BRT_CHM","air","YLD",4.01879604821937
"jbarl","BRT_CHM","arf","QS",26.0062769132577
"jbarl","BRT_CHM","arf","ARA",7.08436655933565
"jbarl","BRT_CHM","arf","YLD",3.67093891817146
"jbarl","BRT_IND","air","QS",2.39941914100607
"jbarl","BRT_IND","air","ARA",0.825304702737595
"jbarl","BRT_IND","air","YLD",2.90731306031218
"jbarl","BRT_IND","arf","QS",7.3339297752387
"jbarl","BRT_IND","arf","ARA",3.3999463544246
"jbarl","BRT_IND","arf","YLD",2.15707220371125
"jbarl","CAL_USA","air","QS",45.7563336853296
"jbarl","CAL_USA","air","ARA",10.89208189769
"jbarl","CAL_USA","air","YLD",4.20088042994183
"jbarl","CAL_USA","arf","QS",44.8267495694548
"jbarl","CAL_USA","arf","ARA",14.1256089995987
"jbarl","CAL_USA","arf","YLD",3.17343836791236
"jbarl","CAN_CAN","air","QS",100.465641687453
"jbarl","CAN_CAN","air","ARA",29.0893525387289
"jbarl","CAN_CAN","air","YLD",3.45369122787093
"jbarl","CAN_CAN","arf","QS",449.495990802429
"jbarl","CAN_CAN","arf","ARA",142.553046171955
"jbarl","CAN_CAN","arf","YLD",3.1531840453288
"jbarl","CAU_AUS","air","QS",143.552676576631
"jbarl","CAU_AUS","air","ARA",51.603729308506
"jbarl","CAU_AUS","air","YLD",2.78182756363247
"jbarl","CAU_AUS","arf","QS",1814.10994293975
"jbarl","CAU_AUS","arf","ARA",724.658741377159
"jbarl","CAU_AUS","arf","YLD",2.5033989647212
"jbarl","CAV_IND","air","QS",2.41373932414667
"jbarl","CAV_IND","air","ARA",0.830284013059688
"jbarl","CAV_IND","air","YLD",2.9071248948318
"jbarl","CAV_IND","arf","QS",2.43551666076135
"jbarl","CAV_IND","arf","ARA",0.838183071130503
"jbarl","CAV_IND","arf","YLD",2.90570967685667
"jbarl","CHC_CHL","air","QS",93.8827018850851
"jbarl","CHC_CHL","air","ARA",12.8652337131947
"jbarl","CHC_CHL","air","YLD",7.29739575494834
"jbarl","CHC_CHL","arf","QS",59.3556362501568
"jbarl","CHC_CHL","arf","ARA",12.887432760194
"jbarl","CHC_CHL","arf","YLD",4.60569900573924
"jbarl","CHJ_CHM","air","QS",375.659409432979
"jbarl","CHJ_CHM","air","ARA",89.6331077871178
"jbarl","CHJ_CHM","air","YLD",4.19107870637694
"jbarl","CHJ_CHM","arf","QS",333.023254636392
"jbarl","CHJ_CHM","arf","ARA",102.18363599347
"jbarl","CHJ_CHM","arf","YLD",3.2590663994152
"jbarl","CHO_IND","air","QS",2.40134433771011
"jbarl","CHO_IND","air","ARA",0.825966808925516
"jbarl","CHO_IND","air","YLD",2.90731335903676
"jbarl","CHO_IND","arf","QS",7.52355264736419
"jbarl","CHO_IND","arf","ARA",3.48775675349953
"jbarl","CHO_IND","arf","YLD",2.15713227128447
"jbarl","CHU_KAZ","air","QS",10.4927508580495
"jbarl","CHU_KAZ","air","ARA",4.14416941622803
"jbarl","CHU_KAZ","air","YLD",2.53193096232052
"jbarl","CHU_KAZ","arf","QS",65.4285780576132
"jbarl","CHU_KAZ","arf","ARA",53.6677643394258
"jbarl","CHU_KAZ","arf","YLD",1.21914111502401
"jbarl","CHU_KGZ","air","QS",254.017311040983
"jbarl","CHU_KGZ","air","ARA",123.578819701085
"jbarl","CHU_KGZ","air","YLD",2.05550847350222
"jbarl","CHU_KGZ","arf","QS",22.3623948750632
"jbarl","CHU_KGZ","arf","ARA",15.419914777028
"jbarl","CHU_KGZ","arf","YLD",1.45022817560431
"jbarl","COB_CAN","air","QS",16.4612338296794
"jbarl","COB_CAN","air","ARA",4.71047731680222
