"JJJ","CTY","RIQ","Val"
"jbeef","BWA","QN",40.6995473251089
"jbeef","BWA","ARA",328.333333333333
"jbeef","BWA","YLD",0.212281624201165
"jbeef","CAF","QS",101.925810442523
"jbeef","CAF","QD",102.992214330615
"jbeef","CAF","QF",102.992214330615
"jbeef","CAF","QM",1.06640388809182
"jbeef","CAF","QN",-1.06640388809182
"jbeef","CAF","ARA",626.215657552083
"jbeef","CAF","YLD",0.162764710868069
"jbeef","CAN","QS",1376.92946302998
"jbeef","CAN","QD",998.486929677522
"jbeef","CAN","QF",998.486929677522
"jbeef","CAN","QE",378.442533352463
"jbeef","CAN","QN",378.442533352463
"jbeef","CAN","ARA",3634.33333333333
"jbeef","CAN","YLD",0.37886713648445
"jbeef","CHL","QS",208.070902948729
"jbeef","CHL","QD",578.988875074313
"jbeef","CHL","QF",578.988875074313
"jbeef","CHL","QM",370.917972125584
"jbeef","CHL","QN",-370.917972125584
"jbeef","CHL","ARA",807.45566813151
"jbeef","CHL","YLD",0.257687091887304
"jbeef","CHM","QS",7021.05326307524
"jbeef","CHM","QD",11142.0221171977
"jbeef","CHM","QF",11141.0221208998
"jbeef","CHM","QOth",0.999996297883027
"jbeef","CHM","QM",4120.96885412244
"jbeef","CHM","QN",-4120.96885412244
"jbeef","CHM","ARA",47109.1883138021
"jbeef","CHM","YLD",0.149037873807268
"jbeef","CHP","QS",143.594231809231
"jbeef","CHP","QD",167.643168663734
"jbeef","CHP","QF",167.643168663734
"jbeef","CHP","QM",24.0489368545034
"jbeef","CHP","QN",-24.0489368545034
"jbeef","CHP","ARA",599.908325195312
"jbeef","CHP","YLD",0.239360291862062
"jbeef","CIV","QS",22.8084153419318
"jbeef","CIV","QD",28.6659843165175
"jbeef","CIV","QF",28.6659843165175
"jbeef","CIV","QM",5.85756897458564
"jbeef","CIV","QN",-5.85756897458564
"jbeef","CIV","ARA",211.185002644857
"jbeef","CIV","YLD",0.108002060071889
"jbeef","CMR","QS",114.975720526102
