"C","H","CTY","YRS","Val"
"cbeef","Urban","ARG","2041",0.046343787708869
"cbeef","Urban","ARG","2042",0.0453803498317803
"cbeef","Urban","ARG","2043",0.0444265463334625
"cbeef","Urban","ARG","2044",0.0434822808701279
"cbeef","Urban","ARG","2045",0.0425474580614266
"cbeef","Urban","ARG","2046",0.0416219834808123
"cbeef","Urban","ARG","2047",0.0407057636460042
"cbeef","Urban","ARG","2048",0.0397987060095442
"cbeef","Urban","ARG","2049",0.0389007189494487
"cbeef","Urban","ARG","2050",0.0380117117599542
"cbeef","Urban","ARM","2021",0.583003295821582
"cbeef","Urban","ARM","2022",0.491438659933199
"cbeef","Urban","ARM","2023",0.486524273333867
"cbeef","Urban","ARM","2024",0.481659030600528
"cbeef","Urban","ARM","2025",0.476842440294523
"cbeef","Urban","ARM","2026",0.472074015891578
"cbeef","Urban","ARM","2027",0.467353275732662
"cbeef","Urban","ARM","2028",0.462679742975335
"cbeef","Urban","ARM","2029",0.458052945545582
"cbeef","Urban","ARM","2030",0.453472416090126
"cbeef","Urban","ARM","2031",0.448937691929225
"cbeef","Urban","ARM","2032",0.444448315009933
"cbeef","Urban","ARM","2033",0.440003831859833
"cbeef","Urban","ARM","2034",0.435603793541235
"cbeef","Urban","ARM","2035",0.431247755605823
"cbeef","Urban","ARM","2036",0.426935278049764
"cbeef","Urban","ARM","2037",0.422665925269267
"cbeef","Urban","ARM","2038",0.418439266016574
"cbeef","Urban","ARM","2039",0.414254873356408
"cbeef","Urban","ARM","2040",0.410112324622844
"cbeef","Urban","ARM","2041",0.406011201376616
"cbeef","Urban","ARM","2042",0.40195108936285
"cbeef","Urban","ARM","2043",0.397931578469221
"cbeef","Urban","ARM","2044",0.393952262684529
"cbeef","Urban","ARM","2045",0.390012740057684
"cbeef","Urban","ARM","2046",0.386112612657107
"cbeef","Urban","ARM","2047",0.382251486530536
"cbeef","Urban","ARM","2048",0.37842897166523
"cbeef","Urban","ARM","2049",0.374644681948578
"cbeef","Urban","ARM","2050",0.370898235129092
"cbeef","Urban","AUS","2021",0.149656314474373
"cbeef","Urban","AUS","2022",0.148563554389207
"cbeef","Urban","AUS","2023",0.14850119967992
"cbeef","Urban","AUS","2024",0.148438374559797
"cbeef","Urban","AUS","2025",0.148375097189078
"cbeef","Urban","AUS","2026",0.1483073655488
"cbeef","Urban","AUS","2027",0.148239170310185
"cbeef","Urban","AUS","2028",0.148170538654579
"cbeef","Urban","AUS","2029",0.148101499793024
"cbeef","Urban","AUS","2030",0.14803208506733
"cbeef","Urban","AUS","2031",0.147958088017268
"cbeef","Urban","AUS","2032",0.147883748893305
"cbeef","Urban","AUS","2033",0.147809113772931
"cbeef","Urban","AUS","2034",0.147734232019948
"cbeef","Urban","AUS","2035",0.147659156453959
"cbeef","Urban","AUS","2036",0.147579429880997
"cbeef","Urban","AUS","2037",0.147499620944814
"cbeef","Urban","AUS","2038",0.147419806648664
"cbeef","Urban","AUS","2039",0.147340069350155
"cbeef","Urban","AUS","2040",0.147260497047815
"cbeef","Urban","AUS","2041",0.147185689485548
"cbeef","Urban","AUS","2042",0.147111196056088
"cbeef","Urban","AUS","2043",0.147037105840928
"cbeef","Urban","AUS","2044",0.14696351337487
"cbeef","Urban","AUS","2045",0.14689051891559
"cbeef","Urban","AUS","2046",0.146816967999854
"cbeef","Urban","AUS","2047",0.1467442649384
"cbeef","Urban","AUS","2048",0.146672535470248
"cbeef","Urban","AUS","2049",0.146601912776294
"cbeef","Urban","AUS","2050",0.146532537847737
"cbeef","Urban","AUT","2021",0.159685823520359
"cbeef","Urban","AUT","2022",0.15750349327741
"cbeef","Urban","AUT","2023",0.157343703375504
"cbeef","Urban","AUT","2024",0.157179018966624
"cbeef","Urban","AUT","2025",0.1570092707411
"cbeef","Urban","AUT","2026",0.156827012994308
"cbeef","Urban","AUT","2027",0.156638872115414
"cbeef","Urban","AUT","2028",0.15644463363668
"cbeef","Urban","AUT","2029",0.156244074395801
"cbeef","Urban","AUT","2030",0.156036962155752
"cbeef","Urban","AUT","2031",0.155818106551189
"cbeef","Urban","AUT","2032",0.155591874148585
"cbeef","Urban","AUT","2033",0.155357984348773
"cbeef","Urban","AUT","2034",0.155116144736415
"cbeef","Urban","AUT","2035",0.154866050546202
"cbeef","Urban","AUT","2036",0.154597793142377
"cbeef","Urban","AUT","2037",0.154319958341008
"cbeef","Urban","AUT","2038",0.154032160847347
"cbeef","Urban","AUT","2039",0.153733998291818
"cbeef","Urban","AUT","2040",0.153425050422578
"cbeef","Urban","AUT","2041",0.153124799765271
"cbeef","Urban","AUT","2042",0.15281427760222
"cbeef","Urban","AUT","2043",0.15249308907198
"cbeef","Urban","AUT","2044",0.152160822684837
"cbeef","Urban","AUT","2045",0.151817049579591
"cbeef","Urban","AUT","2046",0.151460564810803
"cbeef","Urban","AUT","2047",0.151091607252646
"cbeef","Urban","AUT","2048",0.150709687994878
"cbeef","Urban","AUT","2049",0.150314297244632
"cbeef","Urban","AUT","2050",0.14990490338428
"cbeef","Urban","AZE","2021",0.583003295821582
"cbeef","Urban","AZE","2022",0.491438659933199
"cbeef","Urban","AZE","2023",0.486524273333867
"cbeef","Urban","AZE","2024",0.481659030600528
"cbeef","Urban","AZE","2025",0.476842440294523
"cbeef","Urban","AZE","2026",0.472074015891578
"cbeef","Urban","AZE","2027",0.467353275732662
"cbeef","Urban","AZE","2028",0.462679742975335
"cbeef","Urban","AZE","2029",0.458052945545582
"cbeef","Urban","AZE","2030",0.453472416090126
"cbeef","Urban","AZE","2031",0.448937691929225
"cbeef","Urban","AZE","2032",0.444448315009933
"cbeef","Urban","AZE","2033",0.440003831859833
"cbeef","Urban","AZE","2034",0.435603793541235
"cbeef","Urban","AZE","2035",0.431247755605823
"cbeef","Urban","AZE","2036",0.426935278049764
"cbeef","Urban","AZE","2037",0.422665925269267
"cbeef","Urban","AZE","2038",0.418439266016574
"cbeef","Urban","AZE","2039",0.414254873356408
"cbeef","Urban","AZE","2040",0.410112324622844
"cbeef","Urban","AZE","2041",0.406011201376616
"cbeef","Urban","AZE","2042",0.40195108936285
"cbeef","Urban","AZE","2043",0.397931578469221
"cbeef","Urban","AZE","2044",0.393952262684529
"cbeef","Urban","AZE","2045",0.390012740057684
"cbeef","Urban","AZE","2046",0.386112612657107
"cbeef","Urban","AZE","2047",0.382251486530536
"cbeef","Urban","AZE","2048",0.37842897166523
"cbeef","Urban","AZE","2049",0.374644681948578
"cbeef","Urban","AZE","2050",0.370898235129092
"cbeef","Urban","BDI","2021",0.705330355904521
"cbeef","Urban","BDI","2022",0.689195480364328
"cbeef","Urban","BDI","2023",0.687855149017555
"cbeef","Urban","BDI","2024",0.68648119800855
"cbeef","Urban","BDI","2025",0.685072696404573
