"SCENARIO","CTY","YRS","Val"
"IIASA_ssp1","ALB","2016",-0.0005928367411611
"IIASA_ssp1","ALB","2017",-0.000813376606913107
"IIASA_ssp1","ALB","2018",-0.00108776011787272
"IIASA_ssp1","ALB","2019",-0.000610149993901812
"IIASA_ssp1","ALB","2020",-0.00602932318523195
"IIASA_ssp1","ALB","2021",-0.0057734079254928
"IIASA_ssp1","ALB","2022",-0.00555995759479796
"IIASA_ssp1","ALB","2023",-0.00540043577615982
"IIASA_ssp1","ALB","2024",-0.0053029469167429
"IIASA_ssp1","ALB","2025",-0.00528931894199247
"IIASA_ssp1","ALB","2026",-0.0053574064406964
"IIASA_ssp1","ALB","2027",-0.00554117988148855
"IIASA_ssp1","ALB","2028",-0.00581555327466098
"IIASA_ssp1","ALB","2029",-0.00619297509557072
"IIASA_ssp1","ALB","2030",-0.00662536847510796
"IIASA_ssp1","ALB","2031",-0.00706227626761446
"IIASA_ssp1","ALB","2032",-0.00745498568273733
"IIASA_ssp1","ALB","2033",-0.00775330602022335
"IIASA_ssp1","ALB","2034",-0.00797960993882721
"IIASA_ssp1","ALB","2035",-0.00819594109778978
"IIASA_ssp1","ALB","2036",-0.00842670753277418
"IIASA_ssp1","ALB","2037",-0.00863320202781155
"IIASA_ssp1","ALB","2038",-0.00880836694876425
"IIASA_ssp1","ALB","2039",-0.00896219902996573
"IIASA_ssp1","ALB","2040",-0.00909593481007184
"IIASA_ssp1","ALB","2041",-0.00921769807698453
"IIASA_ssp1","ALB","2042",-0.00934289143381247
"IIASA_ssp1","ALB","2043",-0.00946506752730415
"IIASA_ssp1","ALB","2044",-0.00958534227771925
"IIASA_ssp1","ALB","2045",-0.00970488352382776
"IIASA_ssp1","ALB","2046",-0.00981604369970685
"IIASA_ssp1","ALB","2047",-0.00992615219218335
"IIASA_ssp1","ALB","2048",-0.0100347173297519
"IIASA_ssp1","ALB","2049",-0.0101473151813637
"IIASA_ssp1","ALB","2050",-1
"IIASA_ssp1","ARG","2005",0.0104004298588388
"IIASA_ssp1","ARG","2006",0.0101138007450727
"IIASA_ssp1","ARG","2007",0.00997232390625618
"IIASA_ssp1","ARG","2008",0.010194464292627
