"JJJ","FPU","LND","FCTR","Val"
"jorat","LCB_CAF","air","fert",-0.025
"jorat","LCB_CAF","arf","flbr",-0.12
"jorat","LCB_CAF","arf","fert",-0.025
"jorat","LCB_CMR","air","flbr",-0.12
"jorat","LCB_CMR","air","fert",-0.025
"jorat","LCB_CMR","arf","flbr",-0.12
"jorat","LCB_CMR","arf","fert",-0.025
"jorat","LCB_NGA","air","flbr",-0.1
"jorat","LCB_NGA","air","fert",-0.025
"jorat","LCB_NGA","arf","flbr",-0.1
"jorat","LCB_NGA","arf","fert",-0.025
"jorat","LCB_TCD","air","flbr",-0.13
"jorat","LCB_TCD","air","fert",-0.025
"jorat","LCB_TCD","arf","flbr",-0.13
"jorat","LCB_TCD","arf","fert",-0.025
"jorat","LIM_BWA","air","flbr",-0.14
"jorat","LIM_BWA","air","fert",-0.03
"jorat","LIM_BWA","arf","flbr",-0.14
"jorat","LIM_BWA","arf","fert",-0.03
"jorat","LIM_MOZ","air","flbr",-0.14
"jorat","LIM_MOZ","air","fert",-0.03
"jorat","LIM_MOZ","arf","flbr",-0.14
"jorat","LIM_MOZ","arf","fert",-0.03
"jorat","LIM_ZAF","air","flbr",-0.05
"jorat","LIM_ZAF","air","fert",-0.045
"jorat","LIM_ZAF","arf","flbr",-0.05
"jorat","LIM_ZAF","arf","fert",-0.045
"jorat","LIM_ZWE","air","flbr",-0.14
"jorat","LIM_ZWE","air","fert",-0.03
"jorat","LIM_ZWE","arf","flbr",-0.14
"jorat","LIM_ZWE","arf","fert",-0.03
"jorat","LMO_CHM","air","flbr",-0.07
"jorat","LMO_CHM","air","fert",-0.035
"jorat","LMO_CHM","arf","flbr",-0.07
"jorat","LMO_CHM","arf","fert",-0.035
"jorat","LTZ_KAZ","air","flbr",-0.1
"jorat","LTZ_KAZ","air","fert",-0.035
"jorat","LTZ_KAZ","arf","flbr",-0.1
"jorat","LTZ_KAZ","arf","fert",-0.035
"jorat","MAD_MDG","air","flbr",-0.14
"jorat","MAD_MDG","air","fert",-0.03
"jorat","MAD_MDG","arf","flbr",-0.14
"jorat","MAD_MDG","arf","fert",-0.03
"jorat","MEK_KHM","air","flbr",-0.09
"jorat","MEK_KHM","air","fert",-0.025
"jorat","MEK_KHM","arf","flbr",-0.09
"jorat","MEK_KHM","arf","fert",-0.025
"jorat","MEK_LAO","air","flbr",-0.09
"jorat","MEK_LAO","air","fert",-0.025
"jorat","MEK_LAO","arf","flbr",-0.09
"jorat","MEK_LAO","arf","fert",-0.025
"jorat","MEK_THA","air","flbr",-0.07
"jorat","MEK_THA","air","fert",-0.04
"jorat","MEK_THA","arf","flbr",-0.07
"jorat","MEK_THA","arf","fert",-0.04
"jorat","MIM_MEX","air","flbr",-0.08
"jorat","MIM_MEX","air","fert",-0.03
"jorat","MIM_MEX","arf","flbr",-0.08
"jorat","MIM_MEX","arf","fert",-0.03
"jorat","MIS_USA","air","flbr",-0.01
"jorat","MIS_USA","air","fert",-0.025
"jorat","MIS_USA","arf","flbr",-0.01
"jorat","MIS_USA","arf","fert",-0.025
"jorat","MOU_USA","air","flbr",-0.01
"jorat","MOU_USA","air","fert",-0.025
"jorat","MOU_USA","arf","flbr",-0.01
"jorat","MOU_USA","arf","fert",-0.025
"jorat","NAC_EGY","air","flbr",-0.07
"jorat","NAC_EGY","air","fert",-0.04
"jorat","NAC_EGY","arf","flbr",-0.07
"jorat","NAC_EGY","arf","fert",-0.04
"jorat","NER_RUS","air","flbr",-0.08
"jorat","NER_RUS","air","fert",-0.03
"jorat","NER_RUS","arf","flbr",-0.08
"jorat","NER_RUS","arf","fert",-0.03
"jorat","NIC_NIC","air","flbr",-0.08
"jorat","NIC_NIC","air","fert",-0.03
"jorat","NIC_NIC","arf","flbr",-0.08
"jorat","NIC_NIC","arf","fert",-0.03
"jorat","NIG_BEN","air","flbr",-0.12
"jorat","NIG_BEN","air","fert",-0.025
"jorat","NIG_BEN","arf","flbr",-0.12
"jorat","NIG_BEN","arf","fert",-0.025
"jorat","NIG_CIV","air","flbr",-0.12
"jorat","NIG_CIV","air","fert",-0.025
"jorat","NIG_CIV","arf","flbr",-0.12
"jorat","NIG_CIV","arf","fert",-0.025
"jorat","NIG_CMR","air","flbr",-0.12
"jorat","NIG_CMR","air","fert",-0.025
"jorat","NIG_CMR","arf","flbr",-0.12
"jorat","NIG_CMR","arf","fert",-0.025
"jorat","NIG_GIN","air","flbr",-0.12
"jorat","NIG_GIN","air","fert",-0.025
"jorat","NIG_GIN","arf","flbr",-0.12
"jorat","NIG_GIN","arf","fert",-0.025
"jorat","NIG_NGA","air","flbr",-0.1
"jorat","NIG_NGA","air","fert",-0.025
"jorat","NIG_NGA","arf","flbr",-0.1
"jorat","NIG_NGA","arf","fert",-0.025
"jorat","NIG_TCD","air","flbr",-0.13
"jorat","NIG_TCD","air","fert",-0.025
"jorat","NIG_TCD","arf","flbr",-0.13
"jorat","NIG_TCD","arf","fert",-0.025
"jorat","NLL_EGY","air","flbr",-0.07
"jorat","NLL_EGY","air","fert",-0.04
"jorat","NLL_EGY","arf","flbr",-0.07
"jorat","NLL_EGY","arf","fert",-0.04
"jorat","NLL_ERI","air","flbr",-0.13
"jorat","NLL_ERI","air","fert",-0.025
"jorat","NLL_ERI","arf","flbr",-0.13
"jorat","NLL_ERI","arf","fert",-0.025
"jorat","NLL_ETH","air","flbr",-0.13
"jorat","NLL_ETH","air","fert",-0.025
"jorat","NLL_ETH","arf","flbr",-0.13
"jorat","NLL_ETH","arf","fert",-0.025
"jorat","NWA_MOR","air","flbr",-0.05
"jorat","NWA_MOR","air","fert",-0.03
"jorat","NWA_MOR","arf","flbr",-0.05
"jorat","NWA_MOR","arf","fert",-0.03
"jorat","NWS_COL","air","flbr",-0.07
"jorat","NWS_COL","air","fert",-0.03
"jorat","NWS_COL","arf","flbr",-0.07
"jorat","NWS_COL","arf","fert",-0.03
"jorat","NWS_ECU","air","flbr",-0.08
"jorat","NWS_ECU","air","fert",-0.03
"jorat","NWS_ECU","arf","flbr",-0.08
"jorat","NWS_ECU","arf","fert",-0.03
"jorat","OAO_OAO","air","flbr",-0.09
"jorat","OAO_OAO","air","fert",-0.03
"jorat","OAO_OAO","arf","flbr",-0.09
"jorat","OAO_OAO","arf","fert",-0.03
"jorat","OBB_CHM","air","flbr",-0.07
"jorat","OBB_CHM","air","fert",-0.035
"jorat","OBB_CHM","arf","flbr",-0.07
"jorat","OBB_CHM","arf","fert",-0.035
"jorat","OBB_KAZ","air","flbr",-0.1
"jorat","OBB_KAZ","air","fert",-0.035
"jorat","OBB_KAZ","arf","flbr",-0.1
"jorat","OBB_KAZ","arf","fert",-0.035
"jorat","OBB_RUS","air","flbr",-0.08
"jorat","OBB_RUS","air","fert",-0.03
"jorat","OBB_RUS","arf","flbr",-0.08
"jorat","OBB_RUS","arf","fert",-0.03
"jorat","ODE_RUS","air","flbr",-0.08
"jorat","ODE_RUS","air","fert",-0.03
"jorat","ODE_RUS","arf","flbr",-0.08
"jorat","ODE_RUS","arf","fert",-0.03
"jorat","OHI_USA","air","flbr",-0.01
"jorat","OHI_USA","air","fert",-0.025
"jorat","OHI_USA","arf","flbr",-0.01
"jorat","OHI_USA","arf","fert",-0.025
"jorat","OIO_OIO","air","flbr",-0.09
"jorat","OIO_OIO","air","fert",-0.03
"jorat","OIO_OIO","arf","flbr",-0.09
"jorat","OIO_OIO","arf","fert",-0.03
"jorat","OPO_OPO","air","flbr",-0.09
"jorat","OPO_OPO","air","fert",-0.03
"jorat","OPO_OPO","arf","flbr",-0.09
"jorat","OPO_OPO","arf","fert",-0.03
"jorat","ORA_NAM","air","flbr",-0.14
"jorat","ORA_NAM","air","fert",-0.03
"jorat","ORA_NAM","arf","flbr",-0.14
"jorat","ORA_NAM","arf","fert",-0.03
"jorat","ORA_ZAF","air","flbr",-0.05
"jorat","ORA_ZAF","air","fert",-0.045
"jorat","ORA_ZAF","arf","flbr",-0.05
"jorat","ORA_ZAF","arf","fert",-0.045
"jorat","ORI_COL","air","flbr",-0.07
"jorat","ORI_COL","air","fert",-0.03
"jorat","ORI_COL","arf","flbr",-0.07
"jorat","ORI_COL","arf","fert",-0.03
"jorat","ORI_VEN","air","flbr",-0.08
"jorat","ORI_VEN","air","fert",-0.03
"jorat","ORI_VEN","arf","flbr",-0.08
"jorat","ORI_VEN","arf","fert",-0.03
"jorat","PAN_PAN","air","flbr",-0.08
"jorat","PAN_PAN","air","fert",-0.03
"jorat","PAN_PAN","arf","flbr",-0.08
"jorat","PAN_PAN","arf","fert",-0.03
"jorat","PAO_PNG","air","flbr",-0.09
"jorat","PAO_PNG","air","fert",-0.03
"jorat","PAO_PNG","arf","flbr",-0.09
"jorat","PAO_PNG","arf","fert",-0.03
"jorat","PAR_BOL","air","flbr",-0.08
"jorat","PAR_BOL","air","fert",-0.03
"jorat","PAR_BOL","arf","flbr",-0.08
"jorat","PAR_BOL","arf","fert",-0.03
"jorat","PEC_PER","air","flbr",-0.08
"jorat","PEC_PER","air","fert",-0.03
"jorat","PEC_PER","arf","flbr",-0.08
"jorat","PEC_PER","arf","fert",-0.03
"jorat","PHI_PHL","air","flbr",-0.06
"jorat","PHI_PHL","air","fert",-0.03
"jorat","PHI_PHL","arf","flbr",-0.06
"jorat","PHI_PHL","arf","fert",-0.03
"jorat","RAP_RAP","air","flbr",-0.05
"jorat","RAP_RAP","air","fert",-0.03
"jorat","RAP_RAP","arf","flbr",-0.05
"jorat","RAP_RAP","arf","fert",-0.03
"jorat","RIG_MEX","air","flbr",-0.08
"jorat","RIG_MEX","air","fert",-0.03
"jorat","RIG_MEX","arf","flbr",-0.08
"jorat","RIG_MEX","arf","fert",-0.03
"jorat","RIG_USA","air","flbr",-0.01
"jorat","RIG_USA","air","fert",-0.025
"jorat","RIG_USA","arf","flbr",-0.01
"jorat","RIG_USA","arf","fert",-0.025
"jorat","RRS_RUS","air","flbr",-0.08
"jorat","RRS_RUS","air","fert",-0.03
"jorat","RRS_RUS","arf","flbr",-0.08
"jorat","RRS_RUS","arf","fert",-0.03
"jorat","RVE_VEN","air","flbr",-0.08
"jorat","RVE_VEN","air","fert",-0.03
"jorat","RVE_VEN","arf","flbr",-0.08
"jorat","RVE_VEN","arf","fert",-0.03
"jorat","RWI_USA","air","flbr",-0.01
"jorat","RWI_USA","air","fert",-0.025
"jorat","RWI_USA","arf","flbr",-0.01
"jorat","RWI_USA","arf","fert",-0.025
"jorat","SAC_SWZ","air","flbr",-0.14
"jorat","SAC_SWZ","air","fert",-0.03
"jorat","SAC_SWZ","arf","flbr",-0.14
"jorat","SAC_SWZ","arf","fert",-0.03
"jorat","SAC_ZAF","air","flbr",-0.05
"jorat","SAC_ZAF","air","fert",-0.045
"jorat","SAC_ZAF","arf","flbr",-0.05
"jorat","SAC_ZAF","arf","fert",-0.045
"jorat","SAF_MOZ","air","flbr",-0.14
"jorat","SAF_MOZ","air","fert",-0.03
"jorat","SAF_MOZ","arf","flbr",-0.14
"jorat","SAF_MOZ","arf","fert",-0.03
"jorat","SAF_TZA","air","flbr",-0.16
"jorat","SAF_TZA","air","fert",-0.025
"jorat","SAF_TZA","arf","flbr",-0.16
"jorat","SAF_TZA","arf","fert",-0.025
"jorat","SAF_ZWE","air","flbr",-0.14
"jorat","SAF_ZWE","air","fert",-0.03
"jorat","SAF_ZWE","arf","flbr",-0.14
"jorat","SAF_ZWE","arf","fert",-0.03
"jorat","SAH_EGY","air","flbr",-0.07
"jorat","SAH_EGY","air","fert",-0.04
"jorat","SAH_EGY","arf","flbr",-0.07
"jorat","SAH_EGY","arf","fert",-0.04
"jorat","SAH_MOR","air","flbr",-0.05
"jorat","SAH_MOR","air","fert",-0.03
"jorat","SAH_MOR","arf","flbr",-0.05
"jorat","SAH_MOR","arf","fert",-0.03
"jorat","SAH_TCD","air","flbr",-0.13
"jorat","SAH_TCD","air","fert",-0.025
"jorat","SAH_TCD","arf","flbr",-0.13
"jorat","SAH_TCD","arf","fert",-0.025
"jorat","SEN_GIN","air","flbr",-0.12
"jorat","SEN_GIN","air","fert",-0.025
"jorat","SEN_GIN","arf","flbr",-0.12
"jorat","SEN_GIN","arf","fert",-0.025
"jorat","SEU_USA","air","flbr",-0.01
"jorat","SEU_USA","air","fert",-0.025
"jorat","SEU_USA","arf","flbr",-0.01
"jorat","SEU_USA","arf","fert",-0.025
"jorat","SLB_SLB","air","flbr",-0.09
"jorat","SLB_SLB","air","fert",-0.03
"jorat","SLB_SLB","arf","flbr",-0.09
"jorat","SLB_SLB","arf","fert",-0.03
"jorat","SLV_SLV","air","flbr",-0.08
"jorat","SLV_SLV","air","fert",-0.03
"jorat","SLV_SLV","arf","flbr",-0.08
"jorat","SLV_SLV","arf","fert",-0.03
"jorat","SON_CHM","air","flbr",-0.07
"jorat","SON_CHM","air","fert",-0.035
"jorat","SON_CHM","arf","flbr",-0.07
"jorat","SON_CHM","arf","fert",-0.035
"jorat","SRL_LKA","air","flbr",-0.1
"jorat","SRL_LKA","air","fert",-0.025
"jorat","SRL_LKA","arf","flbr",-0.1
"jorat","SRL_LKA","arf","fert",-0.025
"jorat","SYD_KAZ","air","flbr",-0.1
"jorat","SYD_KAZ","air","fert",-0.035
"jorat","SYD_KAZ","arf","flbr",-0.1
"jorat","SYD_KAZ","arf","fert",-0.035
"jorat","TLS_TLS","air","flbr",-0.09
"jorat","TLS_TLS","air","fert",-0.03
"jorat","TLS_TLS","arf","flbr",-0.09
"jorat","TLS_TLS","arf","fert",-0.03
"jorat","TMM_MYS","air","flbr",-0.02
"jorat","TMM_MYS","air","fert",-0.03
"jorat","TMM_MYS","arf","flbr",-0.02
"jorat","TMM_MYS","arf","fert",-0.03
"jorat","TMM_OSA","air","flbr",-0.09
"jorat","TMM_OSA","air","fert",-0.025
"jorat","TMM_OSA","arf","flbr",-0.09
"jorat","TMM_OSA","arf","fert",-0.025
"jorat","TMM_THA","air","flbr",-0.07
"jorat","TMM_THA","air","fert",-0.04
"jorat","TMM_THA","arf","flbr",-0.07
"jorat","TMM_THA","arf","fert",-0.04
"jorat","TWN_CHM","air","flbr",-0.07
"jorat","TWN_CHM","air","fert",-0.035
"jorat","TWN_CHM","arf","flbr",-0.07
"jorat","TWN_CHM","arf","fert",-0.035
"jorat","UME_MEX","air","flbr",-0.08
"jorat","UME_MEX","air","fert",-0.03
"jorat","UME_MEX","arf","flbr",-0.08
"jorat","UME_MEX","arf","fert",-0.03
"jorat","UMO_RUS","air","flbr",-0.08
"jorat","UMO_RUS","air","fert",-0.03
"jorat","UMO_RUS","arf","flbr",-0.08
"jorat","UMO_RUS","arf","fert",-0.03
"jorat","URA_KAZ","air","flbr",-0.1
"jorat","URA_KAZ","air","fert",-0.035
"jorat","URA_KAZ","arf","flbr",-0.1
"jorat","URA_KAZ","arf","fert",-0.035
"jorat","URA_RUS","air","flbr",-0.08
"jorat","URA_RUS","air","fert",-0.03
"jorat","URA_RUS","arf","flbr",-0.08
"jorat","URA_RUS","arf","fert",-0.03
"jorat","USN_USA","air","flbr",-0.01
"jorat","USN_USA","air","fert",-0.025
"jorat","USN_USA","arf","flbr",-0.01
"jorat","USN_USA","arf","fert",-0.025
"jorat","VOG_RUS","air","flbr",-0.08
"jorat","VOG_RUS","air","fert",-0.03
"jorat","VOG_RUS","arf","flbr",-0.08
"jorat","VOG_RUS","arf","fert",-0.03
"jorat","VOT_BEN","air","flbr",-0.12
"jorat","VOT_BEN","air","fert",-0.025
"jorat","VOT_BEN","arf","flbr",-0.12
"jorat","VOT_BEN","arf","fert",-0.025
"jorat","VOT_CIV","air","flbr",-0.12
"jorat","VOT_CIV","air","fert",-0.025
"jorat","VOT_CIV","arf","flbr",-0.12
"jorat","VOT_CIV","arf","fert",-0.025
"jorat","VOT_GHA","air","flbr",-0.12
"jorat","VOT_GHA","air","fert",-0.025
"jorat","VOT_GHA","arf","flbr",-0.12
"jorat","VOT_GHA","arf","fert",-0.025
"jorat","VOT_TGO","air","flbr",-0.12
"jorat","VOT_TGO","air","fert",-0.025
"jorat","VOT_TGO","arf","flbr",-0.12
"jorat","VOT_TGO","arf","fert",-0.025
"jorat","VUT_VUT","air","flbr",-0.09
"jorat","VUT_VUT","air","fert",-0.03
"jorat","VUT_VUT","arf","flbr",-0.09
"jorat","VUT_VUT","arf","fert",-0.03
"jorat","WAC_CIV","air","flbr",-0.12
"jorat","WAC_CIV","air","fert",-0.025
"jorat","WAC_CIV","arf","flbr",-0.12
"jorat","WAC_CIV","arf","fert",-0.025
"jorat","WAC_GIN","air","flbr",-0.12
"jorat","WAC_GIN","air","fert",-0.025
"jorat","WAC_GIN","arf","flbr",-0.12
"jorat","WAC_GIN","arf","fert",-0.025
"jorat","WAC_GNB","air","flbr",-0.12
"jorat","WAC_GNB","air","fert",-0.025
"jorat","WAC_GNB","arf","flbr",-0.12
"jorat","WAC_GNB","arf","fert",-0.025
"jorat","WAC_LBR","air","flbr",-0.12
"jorat","WAC_LBR","air","fert",-0.025
"jorat","WAC_LBR","arf","flbr",-0.12
"jorat","WAC_LBR","arf","fert",-0.025
"jorat","WAC_SLE","air","flbr",-0.12
