"C","J","CTY","Val"
"cgdnt","jgdoln","GMB",-0.5
"cgdnt","jgdoln","GNB",-0.5
"cgdnt","jgdoln","GTM",-0.5
"cgdnt","jgdoln","IDN",-0.5
"cgdnt","jgdoln","IND",-0.5
"cgdnt","jgdoln","IRQ",-0.5
"cgdnt","jgdoln","KHM",-0.5
"cgdnt","jgdoln","KOR",-0.5
"cgdnt","jgdoln","LAO",-0.5
"cgdnt","jgdoln","LBN",-0.5
"cgdnt","jgdoln","LKA",-0.5
"cgdnt","jgdoln","MDG",-0.5
"cgdnt","jgdoln","MEX",-0.5
"cgdnt","jgdoln","MLI",-0.5
"cgdnt","jgdoln","MMR",-0.5
"cgdnt","jgdoln","MOR",-0.5
"cgdnt","jgdoln","MOZ",-0.5
"cgdnt","jgdoln","MWI",-0.5
"cgdnt","jgdoln","MYS",-0.5
"cgdnt","jgdoln","NER",-0.5
"cgdnt","jgdoln","NGA",-0.5
"cgdnt","jgdoln","NIC",-0.5
"cgdnt","jgdoln","PAK",-0.5
"cgdnt","jgdoln","PHL",-0.5
"cgdnt","jgdoln","PRY",-0.5
"cgdnt","jgdoln","RWA",-0.5
"cgdnt","jgdoln","SAU",-0.5
"cgdnt","jgdoln","SDN",-0.5
"cgdnt","jgdoln","SEN",-0.5
"cgdnt","jgdoln","SLE",-0.5
"cgdnt","jgdoln","TCD",-0.5
"cgdnt","jgdoln","TGO",-0.5
"cgdnt","jgdoln","THA",-0.5
"cgdnt","jgdoln","TZA",-0.5
"cgdnt","jgdoln","UGA",-0.5
"cgdnt","jgdoln","USA",-0.5
"cgdnt","jgdoln","VEN",-0.5
"cgdnt","jgdoln","VNM",-0.5
"cgdnt","jgdoln","ZAF",-0.5
"cgdnt","jgdoln","ZMB",-0.5
"cgdnt","jgdoln","ZWE",-0.5
"crpsd","jrpolt","AUT",-0.5
"crpsd","jrpolt","BGD",-0.5
"crpsd","jrpolt","BLR",-0.5
"crpsd","jrpolt","BLX",-0.5
"crpsd","jrpolt","CHL",-0.5
"crpsd","jrpolt","DEU",-0.5
"crpsd","jrpolt","DZA",-0.5
"crpsd","jrpolt","FNP",-0.5
"crpsd","jrpolt","FRP",-0.5
"crpsd","jrpolt","GRC",-0.5
"crpsd","jrpolt","IRN",-0.5
"crpsd","jrpolt","ISR",-0.5
"crpsd","jrpolt","ITP",-0.5
"crpsd","jrpolt","JPN",-0.5
"crpsd","jrpolt","KOR",-0.5
"crpsd","jrpolt","MDA",-0.5
"crpsd","jrpolt","MEX",-0.5
"crpsd","jrpolt","NLD",-0.5
"crpsd","jrpolt","NOR",-0.5
"crpsd","jrpolt","NPL",-0.5
"crpsd","jrpolt","PAK",-0.5
"crpsd","jrpolt","SVN",-0.5
"crpsd","jrpolt","TUR",-0.5
"crpsd","jrpolt","UKP",-0.5
"crpsd","jrpolt","USA",-0.5
"crpnt","jrpoln","ARG",-0.5
"crpnt","jrpoln","AUS",-0.5
"crpnt","jrpoln","AUT",-0.5
"crpnt","jrpoln","BGD",-0.5
"crpnt","jrpoln","BGR",-0.5
"crpnt","jrpoln","BLR",-0.5
"crpnt","jrpoln","BLT",-0.5
"crpnt","jrpoln","BLX",-0.5
"crpnt","jrpoln","BRA",-0.5
