"J","J_1","CTY","Val"
"jplol","jplol","LBR",1.65
"jplol","jplol","MEX",1.65
"jplol","jplol","MYS",1.65
"jplol","jplol","NGA",1.65
"jplol","jplol","NIC",1.65
"jplol","jplol","PAN",1.65
"jplol","jplol","PER",1.65
"jplol","jplol","PHL",1.65
"jplol","jplol","PNG",1.65
"jplol","jplol","SEN",1.65
"jplol","jplol","SLB",1.65
"jplol","jplol","SLE",1.65
"jplol","jplol","TGO",1.65
"jplol","jplol","THA",1.65
"jplol","jplol","TZA",1.65
"jplol","jplol","VEN",1.65
"jgdoln","jgdoln","AGO",1.65
"jgdoln","jgdoln","ARG",1.65
"jgdoln","jgdoln","AUS",1.65
"jgdoln","jgdoln","BDI",1.65
"jgdoln","jgdoln","BEN",1.65
"jgdoln","jgdoln","BFA",1.65
"jgdoln","jgdoln","BGD",1.65
"jgdoln","jgdoln","BOL",1.65
"jgdoln","jgdoln","BRA",1.65
"jgdoln","jgdoln","CAF",1.65
"jgdoln","jgdoln","CHM",1.65
"jgdoln","jgdoln","CIV",1.65
"jgdoln","jgdoln","CMR",1.65
"jgdoln","jgdoln","COD",1.65
"jgdoln","jgdoln","COG",1.65
"jgdoln","jgdoln","CRB",1.65
"jgdoln","jgdoln","CUB",1.65
"jgdoln","jgdoln","DOM",1.65
"jgdoln","jgdoln","DZA",1.65
"jgdoln","jgdoln","EGY",1.65
"jgdoln","jgdoln","ETH",1.65
"jgdoln","jgdoln","GHA",1.65
"jgdoln","jgdoln","GIN",1.65
"jgdoln","jgdoln","GMB",1.65
"jgdoln","jgdoln","GNB",1.65
"jgdoln","jgdoln","GTM",1.65
"jgdoln","jgdoln","IDN",1.65
"jgdoln","jgdoln","IND",1.65
"jgdoln","jgdoln","IRQ",1.65
"jgdoln","jgdoln","KHM",1.65
"jgdoln","jgdoln","KOR",1.65
"jgdoln","jgdoln","LAO",1.65
"jgdoln","jgdoln","LBN",1.65
"jgdoln","jgdoln","LKA",1.65
"jgdoln","jgdoln","MDG",1.65
"jgdoln","jgdoln","MEX",1.65
"jgdoln","jgdoln","MLI",1.65
